Initialising fast UCB table... done
Time in this step 1.12071
Time in this step 1.13617
Time in this step 1.11064
Time in this step 1.11605
Time in this step 1.11022
Time in this step 1.09999
Time in this step 1.12707
Time in this step 1.10363
Time in this step 1.10705
Time in this step 1.09298
Time in this step 1.11054
Time in this step 1.0903
Time in this step 1.10021
Time in this step 1.0835
Time in this step 1.08406
Time in this step 1.09781
Time in this step 1.09878
Time in this step 1.10055
Time in this step 1.07291
Time in this step 1.06972
Time in this step 1.08252
Time in this step 1.07574
Time in this step 1.07698
Time in this step 1.06765
Time in this step 1.07323
Time in this step 1.06936
Time in this step 1.06567
Time in this step 1.05449
Time in this step 1.05388
Time in this step 1.07206
Time in this step 1.06552
Time in this step 1.05754
Time in this step 1.05449
Time in this step 1.03829
Time in this step 1.04779
Time in this step 1.04345
Time in this step 1.05013
Time in this step 1.03681
Time in this step 1.02762
Time in this step 1.03945
Time in this step 1.03878
Time in this step 1.03288
Time in this step 1.02067
Time in this step 1.02387
Time in this step 1.02302
Time in this step 1.01801
Time in this step 1.0261
Time in this step 1.01691
Time in this step 1.01366
Time in this step 1.02669
Time in this step 1.01813
Time in this step 1.00515
Time in this step 0.992377
Time in this step 0.990219
Time in this step 1.01376
Time in this step 0.98719
Time in this step 0.978299
Time in this step 0.985228
Time in this step 0.973587
Time in this step 1.0034
Time in this step 0.984991
Time in this step 0.977926
Time in this step 0.9722
Time in this step 0.968895
Time in this step 0.976702
Time in this step 0.968749
Time in this step 0.965709
Time in this step 0.960437
Time in this step 0.956262
Time in this step 0.981873
Time in this step 0.958804
Time in this step 0.951703
Time in this step 0.967557
Time in this step 0.946649
Time in this step 0.94081
Time in this step 0.957427
Time in this step 0.94181
Time in this step 0.954019
Time in this step 0.92969
Time in this step 0.935023
Time in this step 0.943823
Time in this step 0.933985
Time in this step 0.933646
Time in this step 0.935485
Time in this step 0.928689
Time in this step 0.917681
Time in this step 0.932621
Time in this step 0.925437
Time in this step 0.923207
Time in this step 0.909425
Time in this step 0.919805
Time in this step 0.926344
Time in this step 0.903828
Time in this step 0.897379
Time in this step 0.907701
Time in this step 0.901479
Time in this step 0.895545
Time in this step 0.904467
Time in this step 0.890938
Time in this step 0.891189
Time in this step 0.89454
Time in this step 0.88678
Time in this step 0.881887
Time in this step 0.88306
Time in this step 0.885109
Time in this step 0.874889
Time in this step 0.882777
Time in this step 0.869633
Time in this step 0.886317
Time in this step 0.872405
Time in this step 0.872344
Time in this step 0.859217
Time in this step 0.8535
Time in this step 0.85919
Time in this step 0.857968
Time in this step 0.854619
Time in this step 0.842871
Time in this step 0.850814
Time in this step 0.842651
Time in this step 0.882975
Time in this step 0.876078
Time in this step 0.835191
Time in this step 0.838717
Time in this step 0.832282
Time in this step 0.843736
Time in this step 0.827024
Time in this step 0.836599
Time in this step 0.833033
Time in this step 0.821652
Time in this step 0.909533
Time in this step 0.847802
Time in this step 0.812663
Time in this step 0.948442
Time in this step 0.952215
Time in this step 0.927302
Time in this step 0.816576
Time in this step 0.8001
Time in this step 0.793553
Time in this step 0.808917
Time in this step 0.817468
Time in this step 0.803504
Time in this step 0.788004
Time in this step 0.794869
Time in this step 0.791541
Time in this step 0.805937
Time in this step 0.79626
Time in this step 0.775057
Time in this step 0.784216
Time in this step 0.770243
Time in this step 0.770708
Time in this step 0.769285
Time in this step 0.794287
Time in this step 0.816309
Time in this step 0.768562
Time in this step 0.773161
Time in this step 0.766935
Time in this step 0.753916
Time in this step 0.770459
Time in this step 0.761345
Time in this step 0.760563
Time in this step 0.75651
Time in this step 0.761294
Time in this step 0.770719
Time in this step 0.742868
Time in this step 0.757729
Time in this step 0.741377
Time in this step 0.733058
Time in this step 0.729734
Time in this step 0.735941
Time in this step 0.733861
Time in this step 0.74995
Time in this step 0.735551
Time in this step 0.736588
Time in this step 0.720891
Time in this step 0.725975
Time in this step 0.71775
Time in this step 0.723832
Time in this step 0.717271
Time in this step 0.723994
Time in this step 0.70524
Time in this step 0.707009
Time in this step 0.700815
Time in this step 0.699267
Time in this step 0.700477
Time in this step 0.705283
Time in this step 0.702428
Time in this step 0.707859
Time in this step 0.689404
Time in this step 0.687751
Time in this step 0.681321
Time in this step 0.691184
Time in this step 0.683708
Time in this step 0.686874
Time in this step 0.68441
Time in this step 0.68081
Time in this step 0.675739
Time in this step 0.679118
Time in this step 0.667335
Time in this step 0.67334
Time in this step 0.673086
Time in this step 0.672767
Time in this step 0.659446
Time in this step 0.665526
Time in this step 0.660465
Time in this step 0.661449
Time in this step 0.650738
Time in this step 0.651435
Time in this step 0.658279
Time in this step 0.647406
Time in this step 0.650912
Time in this step 0.643583
Time in this step 0.637419
Time in this step 0.636678
Time in this step 0.639332
Time in this step 0.63221
Time in this step 0.645023
Time in this step 0.623468
Time in this step 0.634611
Time in this step 0.632482
Time in this step 0.61876
Time in this step 0.628023
Time in this step 0.620761
Time in this step 0.614849
Time in this step 0.624649
Time in this step 0.608798
Time in this step 0.608943
Time in this step 0.604214
Time in this step 0.601765
Time in this step 0.610415
Time in this step 0.596477
Time in this step 0.601978
Time in this step 0.593348
Time in this step 0.617382
Time in this step 0.594808
Time in this step 0.589619
Time in this step 0.583815
Time in this step 0.585838
Time in this step 0.585251
Time in this step 0.578885
Time in this step 0.576159
Time in this step 0.593638
Time in this step 0.566087
Time in this step 0.570586
Time in this step 0.562952
Time in this step 0.559219
Time in this step 0.559826
Time in this step 0.554107
Time in this step 0.56252
Time in this step 0.553254
Time in this step 0.559575
Time in this step 0.558555
Time in this step 0.54696
Time in this step 0.55701
Time in this step 0.547411
Time in this step 0.551926
Time in this step 0.544017
Time in this step 0.538633
Time in this step 0.537013
Time in this step 0.531371
Time in this step 0.541086
Time in this step 0.527959
Time in this step 0.529904
Time in this step 0.524969
Time in this step 0.524029
Time in this step 0.519996
Time in this step 0.52614
Time in this step 0.519245
Time in this step 0.520237
Time in this step 0.524023
Time in this step 0.511971
Time in this step 0.51146
Time in this step 0.508646
Time in this step 0.50906
Time in this step 0.511476
Time in this step 0.504859
Time in this step 0.497441
Time in this step 0.498535
Time in this step 0.498323
Time in this step 0.510566
Time in this step 0.493573
Time in this step 0.489657
Time in this step 0.477147
Time in this step 0.486233
Time in this step 0.477635
Time in this step 0.488357
Time in this step 0.476841
Time in this step 0.473013
Time in this step 0.47978
Time in this step 0.47768
Time in this step 0.467476
Time in this step 0.468939
Time in this step 0.462599
Time in this step 0.463365
Time in this step 0.470916
Time in this step 0.466375
Time in this step 0.452015
Time in this step 0.464541
Time in this step 0.447419
Time in this step 0.456066
Time in this step 0.443882
Time in this step 0.447751
Time in this step 0.441861
Time in this step 0.42758
Time in this step 0.430558
Time in this step 0.427007
Time in this step 0.428923
Time in this step 0.421088
Time in this step 0.425665
Time in this step 0.42274
Time in this step 0.41887
Time in this step 0.424939
Time in this step 0.416439
Time in this step 0.423707
Time in this step 0.413352
Time in this step 0.412273
Time in this step 0.406571
Time in this step 0.414158
Time in this step 0.40331
Time in this step 0.40403
Time in this step 0.405049
Time in this step 0.396924
Time in this step 0.397748
Time in this step 0.396373
Time in this step 0.395431
Time in this step 0.392403
Time in this step 0.399375
Time in this step 0.383091
Time in this step 0.383768
Time in this step 0.377227
Time in this step 0.366953
Time in this step 0.37364
Time in this step 0.370761
Time in this step 0.365034
Time in this step 0.366871
Time in this step 0.362277
Time in this step 0.363115
Time in this step 0.356502
Time in this step 0.353666
Time in this step 0.351201
Time in this step 0.36111
Time in this step 0.347102
Time in this step 0.351828
Time in this step 0.346387
Time in this step 0.3428
Time in this step 0.347064
Time in this step 0.339205
Time in this step 0.34016
Time in this step 0.342265
Time in this step 0.342502
Time in this step 0.328893
Time in this step 0.333092
Time in this step 0.332441
Time in this step 0.343834
Time in this step 0.321913
Time in this step 0.317758
Time in this step 0.316869
Time in this step 0.303838
Time in this step 0.295406
Time in this step 0.297462
Time in this step 0.299366
Time in this step 0.288722
Time in this step 0.304305
Time in this step 0.302645
Time in this step 0.298174
Time in this step 0.286562
Time in this step 0.28553
Time in this step 0.282362
Time in this step 0.283381
Time in this step 0.285751
Time in this step 0.278434
Time in this step 0.251235
Time in this step 0.249733
Time in this step 0.250197
Time in this step 0.195115
Terminated
Discounted return = 234, average = 144.667
Undiscounted return = 234, average = 144.667
Starting run 4 with 1024 simulations... 
Time in this step 1.18242
Time in this step 1.16941
Time in this step 1.16151
Time in this step 1.141
Time in this step 1.21749
Time in this step 1.21685
Time in this step 1.24059
Time in this step 1.18619
Time in this step 1.20016
Time in this step 1.20587
Time in this step 1.45114
Time in this step 1.54
Time in this step 1.95285
Time in this step 1.98155
Time in this step 1.76065
Time in this step 1.38385
Time in this step 1.54426
Time in this step 1.3557
Time in this step 1.4407
Time in this step 1.30884
Time in this step 1.413
Time in this step 1.23282
Time in this step 1.22696
Time in this step 1.20545
Time in this step 1.22087
Time in this step 1.16426
Time in this step 1.19379
Time in this step 1.17058
Time in this step 1.1848
Time in this step 1.19629
Time in this step 1.18694
Time in this step 1.17286
Time in this step 1.12741
Time in this step 1.10456
Time in this step 1.12066
Time in this step 1.15007
Time in this step 1.1809
Time in this step 1.1153
Time in this step 1.61626
Time in this step 1.31436
Time in this step 1.19866
Time in this step 1.2598
Time in this step 1.32094
Time in this step 1.2666
Time in this step 1.27782
Time in this step 1.38827
Time in this step 1.38234
Time in this step 1.40778
Time in this step 1.21181
Time in this step 1.23201
Time in this step 1.12219
Time in this step 1.25941
Time in this step 1.22426
Time in this step 1.15452
Time in this step 1.12015
Time in this step 1.08465
Time in this step 1.1007
Time in this step 1.08137
Time in this step 1.04293
